DATE,NSC Total kwh,,
1/1/2018,16576.87,,
1/1/2018,15625.12,,
1/2/2018,16031.47,,
1/3/2018,17186.89,,
1/4/2018,17698.63,,
1/5/2018,17671.99,,
1/6/2018,18293.96,,
1/7/2018,19094.69,,
1/8/2018,18232.84,,
1/9/2018,16843.53,,
1/10/2018,17708.49,,
1/10/2018,17901.65,,
1/11/2018,17813.85,,
1/12/2018,17925.95,,
1/13/2018,18080.71,,
1/14/2018,18251.84,,
1/15/2018,16946.55,,
1/16/2018,16107.38,,
1/17/2018,17801.61,,
1/18/2018,18213.66,,
1/19/2018,18323.96,,
1/19/2018,18548.66,,
1/20/2018,18030.15,,
1/21/2018,17782.76,,
1/22/2018,16777.38,,
1/23/2018,16556.92,,
1/24/2018,18510.16,,
1/25/2018,18695.34,,
1/26/2018,18807.48,,
1/27/2018,18467.22,,
1/28/2018,18444.69,,
1/28/2018,17490.94,,
1/29/2018,15981.86,,
1/30/2018,16393.39,,
1/31/2018,18407.77,,
2/1/2018,18443.53,,
2/2/2018,18493.50,,
2/3/2018,18717.53,,
2/4/2018,18732.83,,
2/5/2018,17198.05,,
2/6/2018,15962.05,,
2/6/2018,17439.31,,
2/7/2018,18815.98,,
2/8/2018,19139.52,,
2/9/2018,19340.21,,
2/10/2018,19052.58,,
2/11/2018,18877.57,,
2/12/2018,17237.95,,
2/13/2018,16091.93,,
2/14/2018,18020.89,,
2/15/2018,18722.43,,
2/15/2018,18441.03,,
2/16/2018,18363.88,,
2/17/2018,18376.87,,
2/18/2018,18132.68,,
2/19/2018,16249.61,,
2/20/2018,15646.55,,
2/21/2018,18374.49,,
2/22/2018,18191.00,,
2/23/2018,18204.76,,
2/24/2018,18911.60,,
2/24/2018,18723.39,,
2/25/2018,17704.13,,
2/26/2018,15956.49,,
2/27/2018,16174.99,,
2/28/2018,18439.79,,
3/1/2018,18443.25,,
3/2/2018,18341.30,,
3/3/2018,18254.16,,
3/4/2018,17663.13,,
3/5/2018,17198.09,,
3/5/2018,15955.52,,
3/6/2018,16933.41,,
3/7/2018,18420.98,,
3/8/2018,18679.80,,
3/9/2018,18783.53,,
3/10/2018,18927.71,,
3/11/2018,18415.28,,
3/12/2018,16814.64,,
3/13/2018,15457.74,,
3/14/2018,17399.27,,
3/15/2018,18376.49,,
3/15/2018,18208.80,,
3/16/2018,18103.80,,
3/17/2018,18096.27,,
3/18/2018,17829.48,,
3/19/2018,16271.48,,
3/20/2018,15478.37,,
3/21/2018,17332.79,,
3/22/2018,17607.18,,
3/23/2018,17595.69,,
3/24/2018,17545.80,,
3/24/2018,17667.48,,
3/25/2018,17032.40,,
3/26/2018,15794.64,,
3/27/2018,15787.95,,
3/28/2018,18330.32,,
3/29/2018,18561.38,,
3/30/2018,17709.19,,
3/31/2018,19829.57,,
4/1/2018,27250.31,,
4/2/2018,26302.50,,
4/2/2018,24844.97,,
4/3/2018,25668.97,,
4/4/2018,27524.84,,
4/5/2018,18480.00,,
4/6/2018,19488.44,,
4/7/2018,20284.44,,
4/9/2018,17449.17,,
4/10/2018,16694.68,,
4/11/2018,17633.49,,
4/11/2018,18210.84,,
4/12/2018,18186.21,,
4/13/2018,18132.09,,
4/14/2018,18487.55,,
4/15/2018,18398.53,,
4/16/2018,18124.88,,
4/17/2018,18046.49,,
4/18/2018,18327.42,,
4/19/2018,18441.25,,
4/20/2018,18411.88,,
4/20/2018,18437.18,,
4/21/2018,18490.43,,
4/22/2018,17606.40,,
4/23/2018,16021.31,,
4/24/2018,15479.15,,
4/25/2018,17340.99,,
4/26/2018,17851.75,,
4/27/2018,18075.87,,
4/28/2018,17872.16,,
4/29/2018,17503.92,,
4/29/2018,16933.88,,
4/30/2018,15883.89,,
5/1/2018,16194.89,,
5/2/2018,18167.30,,
5/3/2018,17435.77,,
5/4/2018,16978.19,,
5/5/2018,17340.33,,
5/6/2018,17355.57,,
5/7/2018,16329.50,,
5/8/2018,14345.17,,
5/8/2018,16277.75,,
5/9/2018,17652.33,,
5/10/2018,17187.36,,
5/11/2018,16903.45,,
5/12/2018,17355.15,,
5/13/2018,18001.33,,
